pid,nice
19076,-10
19076,-10
19076,-10
19079,0
19076,-10
19079,0
19076,-10
19079,0
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19086,-20
19076,19
19079,19
19082,19
19086,-20
19076,19
19079,19
19082,19
19086,-20
19076,19
19079,19
19082,19
19086,-20
19076,19
19079,19
19082,19
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
19076,-10
19079,0
19082,10
